""Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10657713","104953972","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","","2022-04-05","","","",""
"2","10752656","104965345","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2022-04-29","M - Minor","Notice to Comply","",""
"3","10752656","104979589","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Fail to protect against entry of pests - Sec. 13(1)","2022-05-26","M - Minor","Notice to Comply","",""
"4","10752656","104979589","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2022-05-26","M - Minor","Notice to Comply","",""
"5","10752656","104979589","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Operate food premise - equipment not constructed to permit cleaning - Sec. 9","2022-05-26","M - Minor","Notice to Comply","",""
"6","10752656","105020163","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Fail to retain records of pest control measures taken for one year - Sec. 13(2)","2022-08-10","S - Significant","Notice to Comply","",""
"7","10752656","105020163","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Fail to protect against harbouring of pests - Sec. 13(1)","2022-08-10","S - Significant","Notice to Comply","",""
"8","10752656","105020163","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)","2022-08-10","C - Crucial","Notice to Comply","",""
"9","10752656","105020163","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","Fail to protect against entry of pests - Sec. 13(1)","2022-08-10","M - Minor","Notice to Comply","",""
"10","10752656","105020163","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2022-08-10","M - Minor","Notice to Comply","",""
"11","10752656","105020181","# HASHTAG INDIA RESTAURANT","Food Take Out","1871 O'CONNOR DR","43.72199","-79.30349","Conditional Pass","3","","2022-08-18","","","",""
"12","9008018","105076692","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2022-11-21","","","",""
"13","10510325","105068875","0109 Dessert + Chocolate","Restaurant","2190 MCNICOLL AVE, -109","43.81477","-79.29491","Pass","2","","2022-11-07","","","",""
"14","10500438","105025047","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operate food premise - equipment not constructed to permit maintenance in sanitary condition - Sec. 9","2022-08-19","M - Minor","Notice to Comply","",""
"15","10325728","104991543","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2022-06-16","","","",""
"16","10556602","105081684","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867","Pass","2","Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32","2022-11-30","NA - Not Applicable","Notice to Comply","",""
"17","10588973","105026969","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH SOAP OR DETERGENT - SEC. 24(3)(D)  ","2022-08-22","S - Significant","Corrected During Inspection","",""
"18","10588973","105026969","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH SINGLE SERVICE TOWELS OR DRYER - SEC. 25(3)(E)   ","2022-08-22","S - Significant","Corrected During Inspection","",""
"19","10588973","105026969","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2022-08-22","M - Minor","Notice to Comply","",""
