"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9008018","103913052","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2017-02-14","","","",""
"2","9008018","104078913","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2017-10-24","S - Significant","Corrected During Inspection","",""
"3","10500438","104102644","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","","2017-12-05","","","",""
"4","10500438","103895923","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","","2017-01-20","","","",""
"5","10500438","104005159","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to properly wash equipment","2017-07-05","M - Minor","Notice to Comply","",""
"6","10500438","104005159","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to properly maintain equipment(NON-FOOD)","2017-07-05","M - Minor","Notice to Comply","",""
"7","10500438","104005159","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","OPERATOR FAIL TO ENSURE CRACKED UTENSIL NOT USED IN FOOD HANDLING O. REG  562/90 SEC. 59(B)","2017-07-05","S - Significant","Corrected During Inspection","",""
"8","10500438","104005159","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(a)","2017-07-05","NA - Not Applicable","Notice to Comply","",""
"9","10500438","104090428","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to ensure food is not contaminated/adulterated","2017-11-30","C - Crucial","Notice to Comply","",""
"10","10500438","104090428","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to provide required supplies at sinks","2017-11-30","S - Significant","Notice to Comply","",""
