"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10500438","103743023","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","","2016-06-03","","","",""
"2","10500438","103844656","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","","2016-11-04","","","",""
"3","10325728","103750559","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-06-14","","","",""
"4","10325728","103870429","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-10-04","","","",""
"5","10556602","103681678","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867","Pass","2","IMMERSE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE O. REG  562/90 SEC. 75(1)(B)","2016-02-29","S - Significant","Corrected During Inspection","",""
"6","10556602","103797770","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867","Pass","2","","2016-08-19","","","",""
"7","10356847","103867831","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","","2016-12-09","","","",""
"8","10365046","103717553","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-04-26","","","",""
"9","10365046","103824676","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-10-04","","","",""
"10","10334786","103750009","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-06-14","","","",""
"11","10334786","103824678","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2016-10-04","","","",""
"12","10441981","103694459","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2016-03-22","","","",""
