"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10510325","103505421","0109 Dessert + Chocolate","Restaurant","2190 MCNICOLL AVE, -109","43.81477","-79.29491","Pass","2","","2015-06-04","","","",""
"2","10500438","103524827","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to provide proper equipment","2015-06-29","M - Minor","Notice to Comply","",""
"3","10500438","103524827","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator must ensure to provide the Food Safety Inspection Report(s) relating to the currently posted food safety inspection notice when requested by any person. Muncipal Code Chapter 545 Sec. 5G(5)","2015-06-29","NA - Not Applicable","Notice to Comply","",""
"4","10325728","103490107","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2015-04-13","","","",""
"5","10325728","103550462","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2015-08-13","","","",""
"6","10365046","103482620","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","FAIL TO HAVE TEST REAGENT AVAILABLE AT  PLACE OF SANITIZATION O. REG  562/90 SEC. 75(2)","2015-04-13","S - Significant","Corrected During Inspection","",""
"7","10334786","103479540","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2015-04-13","","","",""
"8","10334786","103550524","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","SPRAY LARGE UTENSIL WITH CHEMICAL SOLUTION AT LESS THAN DOUBLE STRENGTH O. REG  562/90 SEC. 82(B)","2015-08-13","S - Significant","Corrected During Inspection","",""
"9","10441981","103461722","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2015-04-09","","","",""
"10","10441981","103547492","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2015-08-07","","","",""
