"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10657713","104369648","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","FAIL TO PROVIDE REQUIRED ILLUMINATION DURING ALL HOURS OF OPERATION - SEC. 10","2018-12-20","M - Minor","Notice to Comply","",""
"2","10657713","104369648","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handlers Certificate - Sec. 545- 157E(1 7)(a)","2018-12-20","NA - Not Applicable","Notice to Comply","",""
"3","10657713","104369648","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Operate food premise - fail to equip sanitary facility with hot and cold running water - Sec. 25(3)(a) ","2018-12-20","S - Significant","Notice to Comply","",""
"4","10657713","104369687","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Operate food premise - fail to equip sanitary facility with hot and cold running water - Sec. 25(3)(a) ","2018-12-27","S - Significant","Notice to Comply","",""
"5","10657713","104369687","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","FAIL TO PROVIDE REQUIRED ILLUMINATION DURING ALL HOURS OF OPERATION - SEC. 10","2018-12-27","M - Minor","Notice to Comply","",""
"6","10657713","104369687","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handlers Certificate - Sec. 545- 157E(1 7)(a)","2018-12-27","NA - Not Applicable","Notice to Comply","",""
"7","9008018","104161804","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","Fail to Produce Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(c)","2018-03-02","NA - Not Applicable","Notice to Comply","",""
"8","10500438","104153937","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(a)","2018-02-21","NA - Not Applicable","Notice to Comply","",""
"9","10325728","104253328","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-05-24","","","",""
"10","10325728","104313013","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-09-20","","","",""
"11","10556602","104117579","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867","Pass","2","Food handler fail to wear headgear","2018-05-30","M - Minor","Notice to Comply","",""
"12","10588973","104160376","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","","2018-02-28","","","",""
"13","10588973","104283610","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2018-08-16","M - Minor","Notice to Comply","",""
"14","10588973","104283610","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","Fail to maintain ventilation system to ensure elimination of smoke - Sec. 11","2018-08-16","M - Minor","Notice to Comply","",""
"15","10588973","104351066","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2018-11-22","M - Minor","Notice to Comply","",""
"16","10365046","104226916","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-05-24","","","",""
"17","10334786","104226920","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to properly maintain rooms","2018-05-24","M - Minor","Notice to Comply","",""
"18","10334786","104314890","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-09-20","","","",""
"19","10441981","104193616","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2018-04-12","","","",""
"20","10441981","104278913","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2018-08-09","","","",""
"21","10441981","104354619","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2018-11-28","","","",""
"22","10431055","104226923","112-GARRISON CREEK FLAT GRILL","Hot Dog Cart","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-05-24","","","",""
"23","10431055","104314895","112-GARRISON CREEK FLAT GRILL","Hot Dog Cart","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2018-09-20","","","",""
