""Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"4630","10743966","104912011","MEAN BAO","Food Court Vendor","65 FRONT ST W","43.64528","-79.38049","Pass","3","Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32","2021-11-23","NA - Not Applicable","Notice to Comply","",""
"4631","10744351","104914393","MEAN BAO","Food Court Vendor","100 KING ST W","43.64873","-79.38376","Pass","2","Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32","2021-11-29","NA - Not Applicable","Notice to Comply","",""
"4632","10744351","104914393","MEAN BAO","Food Court Vendor","100 KING ST W","43.64873","-79.38376","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-11-29","M - Minor","Notice to Comply","",""
"4633","10614367","104883755","MEARA'S CONFECTIONS","Bake Shop","1960 LAWRENCE AVE E, Unit-12","43.74496","-79.29824","Pass","2","","2021-09-16","","","",""
"4634","10649395","104814872","MEATPOINT","Restaurant","1021 WILSON AVE","43.72769","-79.47873","Pass","3","","2021-03-11","","","",""
"4635","9009946","104921196","MEDIEVAL TIMES DINNER & TOURNAMENT","Restaurant","10 DUFFERIN ST","43.63271","-79.42551","Pass","2","","2021-12-15","","","",""
"4636","10640445","104826571","MEECHIE'S BBQ & JERK","Food Take Out","1189 WESTON RD","43.68781","-79.49113","Pass","2","","2021-04-13","","","",""
"4637","10640445","104913479","MEECHIE'S BBQ & JERK","Food Take Out","1189 WESTON RD","43.68781","-79.49113","Pass","2","","2021-11-25","","","",""
"4638","10711726","104851404","MEET FRESH","Restaurant","333 SPADINA AVE","43.65476","-79.39828","Pass","2","Use shelves not of readily cleanable design - Sec. 31","2021-07-05","M - Minor","Notice to Comply","",""
"4639","10711726","104851404","MEET FRESH","Restaurant","333 SPADINA AVE","43.65476","-79.39828","Pass","2","Fail to Post Licence Adjacent to Food Safety Inspection Notice - Sec. 545-157(E)(4) ","2021-07-05","NA - Not Applicable","Notice to Comply","",""
"4640","10222641","104811326","MEGA WRAPS","Food Take Out","200 ELIZABETH ST","43.65901","-79.38787","Pass","2","","2021-03-03","","","",""
"4641","10713445","104909995","MEGAS","Restaurant","402 DANFORTH AVE","43.67785","-79.3516","Pass","3","FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ","2021-11-17","S - Significant","Corrected During Inspection","",""
"4642","10713445","104909995","MEGAS","Restaurant","402 DANFORTH AVE","43.67785","-79.3516","Pass","3","FAIL TO ENSURE FACILITY SURFACE CLEANED AS NECESSARY - SEC. 22","2021-11-17","S - Significant","Corrected During Inspection","",""
"4643","10713445","104909995","MEGAS","Restaurant","402 DANFORTH AVE","43.67785","-79.3516","Pass","3","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-11-17","M - Minor","Notice to Comply","",""
"4644","10713445","104909995","MEGAS","Restaurant","402 DANFORTH AVE","43.67785","-79.3516","Pass","3","SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ","2021-11-17","S - Significant","Corrected During Inspection","",""
"4645","10392113","104881972","MELEWA BAKERY","Bakery","21 TROJAN GT, Unit-7","43.80385","-79.29609","Pass","2","Fail to ensure equipment surface cleaned as necessary - Sec. 22","2021-09-09","S - Significant","Notice to Comply","",""
"4646","10392113","104881972","MELEWA BAKERY","Bakery","21 TROJAN GT, Unit-7","43.80385","-79.29609","Pass","2","Fail to protect against harbouring of pests - Sec. 13(1)","2021-09-09","S - Significant","Ticket","Conviction - Fined","580"
"4647","10392113","104881972","MELEWA BAKERY","Bakery","21 TROJAN GT, Unit-7","43.80385","-79.29609","Pass","2","Fail to protect food from contamination or adulteration - Sec. 26(1) ","2021-09-09","C - Crucial","Notice to Comply","",""
"4648","10392113","104881972","MELEWA BAKERY","Bakery","21 TROJAN GT, Unit-7","43.80385","-79.29609","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-09-09","M - Minor","Notice to Comply","",""
"4649","10392113","104881973","MELEWA BAKERY","Bakery","21 TROJAN GT, Unit-7","43.80385","-79.29609","Pass","2","","2021-09-13","","","",""
"4650","10290583","104919719","MELO'S KITCHEN","Food Court Vendor","40 CARL HALL RD, E6","43.74838","-79.47911","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-12-11","M - Minor","Notice to Comply","",""
"4651","10593051","104906139","MELTWICH","Restaurant","704A THE QUEENSWAY","43.62691","-79.50053","Pass","2","","2021-11-22","","","",""
"4652","10735512","104866252","MELTWICH","Restaurant","105 THE POND RD, Unit-90","43.77005","-79.50239","Pass","2","","2021-07-28","","","",""
"4653","10468090","104840717","MEMORIES OF AFRICA","Food Store (Convenience/Variety)","3889 BATHURST ST","43.74232","-79.43488","Pass","1","","2021-05-18","","","",""
"4654","10567057","104817911","MENAMI RESTAURANT","Restaurant","5469 YONGE ST","43.77785","-79.41479","Pass","2","FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ","2021-02-11","S - Significant","Corrected During Inspection","",""
"4655","10567057","104855697","MENAMI RESTAURANT","Restaurant","5469 YONGE ST","43.77785","-79.41479","Pass","2","","2021-07-05","","","",""
"4656","10726725","104817700","MERCATINO E VINI","Restaurant","1091 QUEEN ST E","43.6618","-79.3361","Pass","2","","2021-03-19","","","",""
"4657","10515816","104855788","MERCATOR EURO MINI MART","Food Take Out","2046 SHEPPARD AVE E","43.77537","-79.33044","Pass","3","Use pallets not of readily cleanable design - Sec. 31","2021-06-29","M - Minor","Notice to Comply","",""
"4658","9095268","104796836","MESSINA ITALIAN BAKERY","Food Take Out","19 SCARLETT RD","43.66673","-79.49902","Pass","2","","2021-01-19","","","",""
"4659","9061196","104807319","MESSINI AUTHENTIC GYROS","Restaurant","445 DANFORTH AVE","43.67754","-79.35044","Pass","2","","2021-02-19","","","",""
"4660","9061196","104920609","MESSINI AUTHENTIC GYROS","Restaurant","445 DANFORTH AVE","43.67754","-79.35044","Pass","2","","2021-12-13","","","",""
"4661","9005761","104835563","METRO","Supermarket","80 FRONT ST E","43.64917","-79.37228","Pass","3","","2021-05-07","","","",""
"4662","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-06-09","M - Minor","Notice to Comply","",""
"4663","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","Fail to protect food from contamination or adulteration - Sec. 26(1) ","2021-06-09","C - Crucial","Notice to Comply","",""
"4664","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","FAIL TO PROVIDE THERMOMETER IN HOT-HOLDING EQUIPMENT - SEC. 30(B)    ","2021-06-09","S - Significant","Notice to Comply","",""
"4665","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","Food premise not maintained with tight floor surface where food handled - Sec. 7(1)(c)(i)  ","2021-06-09","M - Minor","Notice to Comply","",""
"4666","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)","2021-06-09","C - Crucial","Notice to Comply","",""
"4667","10323256","104848739","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","Fail to clean multi-service articles after use - Sec. 21(1)","2021-06-09","S - Significant","Notice to Comply","",""
"4668","10323256","104848757","METRO","Supermarket","1411 LAWRENCE AVE W, Unit-3","43.70855","-79.47778","Pass","2","","2021-06-14","","","",""
"4669","10323945","104810859","METRO","Supermarket","1050 DON MILLS RD","43.7339","-79.34375","Pass","2","","2021-03-02","","","",""
"4670","10323945","104836054","METRO","Supermarket","1050 DON MILLS RD","43.7339","-79.34375","Pass","2","","2021-05-10","","","",""
"4671","10324203","104899555","METRO","Supermarket","1090 WILSON AVE","43.72804","-79.48131","Pass","2","","2021-10-25","","","",""
"4672","10325092","104846367","METRO","Supermarket","3090 BATHURST ST","43.71941","-79.43021","Pass","2","","2021-06-03","","","",""
"4673","10325268","104901552","METRO","Supermarket","89 GOULD ST","43.65838","-79.37644","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-10-28","M - Minor","Notice to Comply","",""
"4674","10325286","104797716","METRO","Supermarket","250 THE EAST MALL","43.63279","-79.55468","Pass","2","Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ","2021-01-21","M - Minor","Notice to Comply","",""
"4675","10325286","104797716","METRO","Supermarket","250 THE EAST MALL","43.63279","-79.55468","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-01-21","M - Minor","Notice to Comply","",""
"4676","10326728","104899145","METRO","Supermarket","425 BLOOR ST W, Unit-1","43.66625","-79.40498","Pass","2","Fail to protect food from contamination or adulteration - Sec. 26(1) ","2021-10-22","C - Crucial","Notice to Comply","",""
"4677","10326728","104899145","METRO","Supermarket","425 BLOOR ST W, Unit-1","43.66625","-79.40498","Pass","2","FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C)","2021-10-22","S - Significant","Notice to Comply","",""
"4678","10326728","104899145","METRO","Supermarket","425 BLOOR ST W, Unit-1","43.66625","-79.40498","Pass","2","SANITIZE UTENSILS IN QUATERNARY AMMONIUM COMPOUND SOLUTION OF LESS THAN 200 P.P.M. - SEC. 19(C) ","2021-10-22","S - Significant","Notice to Comply","",""
"4679","10326728","104899145","METRO","Supermarket","425 BLOOR ST W, Unit-1","43.66625","-79.40498","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-10-22","M - Minor","Notice to Comply","",""
"4680","10326728","104899162","METRO","Supermarket","425 BLOOR ST W, Unit-1","43.66625","-79.40498","Pass","2","","2021-10-26","","","",""
"4681","10326929","104843425","METRO","Supermarket","2900 WARDEN AVE","43.79855","-79.31837","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-05-26","M - Minor","Notice to Comply","",""
"4682","10327553","104841528","METRO","Supermarket","291 YORK MILLS RD","43.74713","-79.38556","Pass","3","FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ","2021-05-20","S - Significant","Corrected During Inspection","",""
"4683","10327553","104841528","METRO","Supermarket","291 YORK MILLS RD","43.74713","-79.38556","Pass","3","Operate food premise - equipment not arranged to permit cleaning - Sec. 9","2021-05-20","M - Minor","Notice to Comply","",""
"4684","10328276","104819950","METRO","Supermarket","656 EGLINTON AVE E","43.71124","-79.37865","Pass","2","FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C)","2021-03-24","S - Significant","Corrected During Inspection","",""
"4685","10328276","104819950","METRO","Supermarket","656 EGLINTON AVE E","43.71124","-79.37865","Pass","2","Operate food premise - equipment not constructed to permit cleaning - Sec. 9","2021-03-24","M - Minor","Notice to Comply","",""
"4686","10328534","104813590","METRO","Supermarket","100 LYNN WILLIAMS ST","43.63958","-79.41727","Pass","2","","2021-03-05","","","",""
"4687","10328534","104866380","METRO","Supermarket","100 LYNN WILLIAMS ST","43.63958","-79.41727","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-07-28","M - Minor","Notice to Comply","",""
"4688","10328787","104796228","METRO","Supermarket","2300 YONGE ST","43.70716","-79.39908","Pass","2","","2021-01-18","","","",""
"4689","10329969","104839445","METRO","Supermarket","444 YONGE ST","43.66062","-79.38404","Pass","2","","2021-06-22","","","",""
"4690","10329969","104885702","METRO","Supermarket","444 YONGE ST","43.66062","-79.38404","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-09-20","M - Minor","Notice to Comply","",""
"4691","10332355","104838005","METRO","Supermarket","3221 EGLINTON AVE E","43.74347","-79.21624","Pass","2","","2021-05-12","","","",""
"4692","10332355","104854323","METRO","Supermarket","3221 EGLINTON AVE E","43.74347","-79.21624","Pass","2","","2021-06-24","","","",""
"4693","10339866","104859175","METRO","Supermarket","1500 ROYAL YORK RD","43.69163","-79.53185","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-07-08","M - Minor","Notice to Comply","",""
"4694","10339866","104859175","METRO","Supermarket","1500 ROYAL YORK RD","43.69163","-79.53185","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-07-08","M - Minor","Notice to Comply","",""
"4695","10349719","104871283","METRO","Supermarket","2155 ST CLAIR AVE W","43.67036","-79.47353","Pass","2","Fail to protect against entry of pests - Sec. 13(1)","2021-08-12","M - Minor","Notice to Comply","",""
"4696","10349719","104871283","METRO","Supermarket","2155 ST CLAIR AVE W","43.67036","-79.47353","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-08-12","M - Minor","Notice to Comply","",""
"4697","10449414","104791378","METRO","Supermarket","600 SHEPPARD AVE W","43.75557","-79.43973","Pass","2","","2021-01-04","","","",""
"4698","10449414","104880327","METRO","Supermarket","600 SHEPPARD AVE W","43.75557","-79.43973","Pass","2","","2021-09-07","","","",""
"4699","10558847","104816058","METRO","Supermarket","20 CHURCH AVE","43.77423","-79.41316","Pass","2","","2021-03-15","","","",""
"4700","10599068","104822538","METRO","Restaurant","1230 QUEEN ST W","43.64265","-79.42802","Pass","2","","2021-03-31","","","",""
"4701","10325697","104832717","METRO","Supermarket","16 WILLIAM KITCHEN RD","43.77093","-79.28162","Pass","2","","2021-04-28","","","",""
"4702","10324659","104812714","METRO #37","Supermarket","3003 DANFORTH AVE","43.69064","-79.2887","Pass","2","","2021-03-05","","","",""
"4703","10323905","104810448","METRO (STORE #442)","Supermarket","735 COLLEGE ST, Unit-2","43.65493","-79.41962","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-03-01","M - Minor","Notice to Comply","",""
"4704","10323905","104810448","METRO (STORE #442)","Supermarket","735 COLLEGE ST, Unit-2","43.65493","-79.41962","Pass","2","FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C)","2021-03-01","S - Significant","Corrected During Inspection","",""
"4705","10744066","104912675","METRO - FREEZER DISTRIBUTION CENTRE","Food Depot","190 THE WEST MALL","43.6323","-79.56043","Pass","1","","2021-11-24","","","",""
"4706","10723411","104798043","METRO DISTRIBUTION CENTRE","Food Depot","75 VICKERS RD, Bldg-1","43.62598","-79.55297","Pass","1","","2021-01-22","","","",""
"4707","10268418","104884791","METROPOLITAN UNITED CHURCH COMMUNITY SERVICES DROP-IN","Community Kitchen (Meal Program)","56 QUEEN ST E","43.65386","-79.37666","Pass","2","","2021-09-17","","","",""
"4708","10745442","104921408","MEXITACO","Restaurant","1601 BIRCHMOUNT RD, Bldg-1","43.76324","-79.29085","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-12-15","M - Minor","Notice to Comply","",""
"4709","10745442","104921408","MEXITACO","Restaurant","1601 BIRCHMOUNT RD, Bldg-1","43.76324","-79.29085","Pass","2","USE FOOD EQUIPMENT NOT OF SOUND AND TIGHT CONSTRUCTION - SEC. 8(1)(A) ","2021-12-15","S - Significant","Corrected During Inspection","",""
"4710","10743894","104911511","MEZA RESTO BAR","Restaurant","664 THE QUEENSWAY","43.6209","-79.52674","Pass","2","","2021-11-22","","","",""
"4711","9010067","104840916","MEZES","Restaurant","456 DANFORTH AVE","43.67813","-79.3503","Pass","2","Food premise not maintained with walls in good repair in food-handling room - Sec. 7(1)(g)  ","2021-05-18","M - Minor","Notice to Comply","",""
"4712","10602773","104895462","MEZGOUF MIDDLE EASTERN CUISINE","Restaurant","843 KIPLING AVE","43.63398","-79.53176","Pass","3","","2021-10-13","","","",""
"4713","10718948","104906872","MEZON LATINO","Food Court Vendor","9 MILVAN DR, Unit-201","43.75125","-79.55202","Pass","2","","2021-11-10","","","",""
"4714","9010069","104797809","MEZZA NOTTE TRATTORIA","Restaurant","5304 YONGE ST","43.77266","-79.41411","Pass","2","Fail to maintain ventilation system to ensure elimination of smoke - Sec. 11","2021-02-05","M - Minor","Notice to Comply","",""
"4715","10712144","104795523","MIAMI WINGS","Restaurant","594 MARLEE AVE","43.70933","-79.44419","Pass","2","","2021-01-15","","","",""
"4716","9015419","104815305","MICHAEL GARRON HOSPITAL","Institutional Food Services","825 COXWELL AVE","43.68983","-79.32495","Pass","3","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-03-12","M - Minor","Notice to Comply","",""
