"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10325728","102958336","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to provide proper equipment","2013-04-02","M - Minor","Notice to Comply","",""
"2","10356847","102900767","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to ensure food is not contaminated/adulterated","2013-01-17","C - Crucial","Notice to Comply","",""
"3","10356847","102900767","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to properly wash surfaces in rooms","2013-01-17","M - Minor","Notice to Comply","",""
"4","10356847","102900775","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","","2013-01-24","","","",""
"5","10365046","102958664","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-04-02","","","",""
"6","10334786","102957818","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-04-02","","","",""
"7","10334786","103060857","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-08-28","","","",""
"8","10334786","103064511","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to properly wash surfaces in rooms","2013-08-28","M - Minor","Notice to Comply","",""
"9","10334786","103066277","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-08-28","","","",""
"10","10334786","103120558","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-12-01","","","",""
"11","10441981","102973274","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2013-04-23","","","",""
"12","10441981","103054618","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2013-07-31","","","",""
"13","10441981","103116530","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2013-11-25","","","",""
"14","10431055","102958946","112-GARRISON CREEK FLAT GRILL","Hot Dog Cart","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-04-02","","","",""
"15","10431055","103066256","112-GARRISON CREEK FLAT GRILL","Hot Dog Cart","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-08-28","","","",""
"16","10300086","102957827","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2013-04-02","","","",""
