"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9008018","103178672","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","Fail to ensure the presence of the holder of a valid food handler's certificate  -  Muncipal Code Chapter 545 Sec. 5G(17)(a)","2014-02-20","NA - Not Applicable","Notice to Comply","",""
"2","10510325","103324846","0109 Dessert + Chocolate","Restaurant","2190 MCNICOLL AVE, -109","43.81477","-79.29491","Pass","2","","2014-07-30","","","",""
"3","10500438","103255150","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FAIL TO STORE FOOD ON RACKS OR SHELVES O. REG  562/90 SEC. 23","2014-06-09","S - Significant","Corrected During Inspection","",""
"4","10500438","103255150","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operator fail to properly wash surfaces in rooms","2014-06-09","M - Minor","Notice to Comply","",""
"5","10500438","103255150","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","STORE UTENSILS IN MANNER NOT PREVENTING CONTAMINATION O. REG  562/90 SEC. 81","2014-06-09","S - Significant","Corrected During Inspection","",""
"6","10500438","103255150","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","USE DIRTY CLOTH FOR CLEANING TABLES O. REG  562/90 SEC. 62(B)","2014-06-09","S - Significant","Corrected During Inspection","",""
"7","10500438","103394489","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","","2014-12-23","","","",""
"8","10325728","103211902","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"9","10325728","103307624","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to properly maintain equipment","2014-08-07","S - Significant","Corrected During Inspection","",""
"10","10356847","103231875","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to properly wash surfaces in rooms","2014-05-07","M - Minor","Notice to Comply","",""
"11","10356847","103231875","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to provide washroom supplies","2014-05-07","S - Significant","Notice to Comply","",""
"12","10356847","103231875","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to properly wash equipment","2014-05-07","M - Minor","Notice to Comply","",""
"13","10356847","103231887","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","","2014-05-26","","","",""
"14","10365046","103211941","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"15","10334786","103211895","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"16","10334786","103307630","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"17","10334786","103309898","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"18","10441981","103223688","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2014-04-24","","","",""
"19","10441981","103302318","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2014-08-14","","","",""
"20","10441981","103375280","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2014-11-28","","","",""
"21","10300086","103211663","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"22","10300086","103316206","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"23","10417459","103211671","117-CORKTOWN FRESH BURGER","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"24","10417459","103313061","117-CORKTOWN FRESH BURGER","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"25","10334795","103307634","117-T.O FOOTLONG HOTDOGS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"26","10334795","103212627","117-T.O FOOTLONG HOTDOGS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"27","10300071","103211937","120 - T.O. Footlong Hotdogs","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"28","10300071","103313057","120 - T.O. Footlong Hotdogs","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"29","10445478","103211655","123-BIG LEAGUE CLASSICS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"30","10334585","103212420","125-BASES LOADED NACHOS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"31","10334585","103309893","125-BASES LOADED NACHOS","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"32","10349216","103211891","128 - STRIKE OUT GRILL","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"33","10349216","103381475","128 - STRIKE OUT GRILL","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"34","10494074","103213314","134-ALL STAR CHICKEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-04-04","","","",""
"35","10494074","103313112","134-ALL STAR CHICKEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2014-08-07","","","",""
"36","9348578","103187263","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2014-03-04","","","",""
