unified_est_id,est_name,address,source
10841151.0,AFGHAN GRILL EXPRESS,4800 Sheppard Ave E Unit-123 M1S 4N5,auto_classified
10799488.0,AFIYET SHAWARMA,1054 Finch Ave W None M3J 2E2,auto_classified
10793090.0,AFRO'S PIZZA,107 Mutual St None M5B 2B2,auto_classified
10850347.0,AFURI RAMEN + DUMPLING,411 CHURCH ST None M4Y 2C2,auto_classified
10823192.0,AG RESTAURANT,2883 Jane St None M3N 2J5,auto_classified
10792637.0,AGECARE TRILOGY KITCHEN,340 Mccowan Rd None M1J 3P4,auto_classified
10844574.0,AGRARIAN KITCHEN,26 Logan Ave Unit-A M4M 2M8,auto_classified
10801772.0,AH-SO SUSHI,100 Queens Quay  E Unit-200 M5E 1Y3,auto_classified
10815177.0,AH-SO SUSHI,29 Bathurst St Unit-1 M5V 0L8,auto_classified
10826856.0,AISLE 3 BAR,2535 Dundas St W None M6P 1X6,auto_classified
10792913.0,AITAIKER TAIWANESE FRIED CHICKEN,5418 Yonge St Unit-21 M2N 6X4,auto_classified
10800320.0,AJISEN RAMEN,2359 Yonge St Flr-LOWER M4P 2C8,auto_classified
10834572.0,AKAMI SUSHI,825 Dundas St W None M6J 1V4,auto_classified
10775812.0,AL' DEEWAN BAKERY & PIZZA,2067 Lawrence Ave E None M1R 2Z4,auto_classified
10844927.0,ALADDIN SHAWARMA HOUSE,2022 Sheppard Ave E None M2J 5B3,auto_classified
10823869.0,ALBA CAFE,392 Browns Line None M8W 3T8,auto_classified
9000420.0,ALBATROS PUB,3057 Lake Shore Blvd W None M8V 1K6,auto_classified
10828993.0,ALBI SUSHI,6464 Yonge St None M2M 3X4,auto_classified
10815350.0,ALEEZA'S PIZZA,1768 Weston Rd None M9N 1V8,auto_classified
10835178.0,ALEPPO KEBAB,2075 Lawrence Ave E Unit-4 M1R 2Z4,auto_classified
10798903.0,ALI BABA'S MIDDLE EASTERN CUISINE,1878 Weston Rd None M9N 1W1,auto_classified
10816594.0,ALI BABA'S MIDDLE EASTERN CUISINE,2246 Bloor St W None M6S 1N6,auto_classified
10864148.0,ALI'S SHAWARMA,1172 Weston Rd None M6M 4P4,auto_classified
10790558.0,ALI'S WEST INDIAN ROTI SHOP - FB - CNE 2025,2 STRACHAN AVE None M6K 3C3,auto_classified
10816764.0,ALICE MARIE BAKERY & COFFEE,807 Gerrard St E None M4M 1Y5,auto_classified
10799189.0,ALICE RESTAURANT & BAR,488 College St None M6G 1A4,auto_classified
10683671.0,ALIJANDRO'S KITCHEN - ECC - CNE 2025,100 PRINCES BLVD None M6K 3C3,auto_classified
10820713.0,ALLADIN CHICKEN SHAWARMA,2900 Warden Ave Unit-224 M1W 2S8,auto_classified
10858402.0,ALLSTAR WINGS AND RIBS,"4664 YONGE ST, Unit-23 None M2N 5M1",auto_classified
10775368.0,ALMINZ BAKESHOP,3799 Bathurst St None M3H 3N1,auto_classified
10778236.0,ALPHA'S SHAWARMA,598 Queen St W None M6J 1E3,auto_classified
10837865.0,ALPHA'S SHAWARMA,565 King St W None M5V 1M1,auto_classified
10851062.0,ALPHA'S SHAWARMA,245 Yonge St None M5B 1N8,auto_classified
10862166.0,ALPINE ESPRESSO BAR,1312 ST CLAIR AVE W None M6E 1C1,auto_classified
10822280.0,AMAZING DONUTS,3499 Bathurst St None M6A 2C5,auto_classified
10774371.0,AMAZING SICHUAN CUISINE,4158 KINGSTON RD None M1E 2M4,auto_classified
10836653.0,AMBER KITCHEN & COFFEE,4 Boulton Ave None M4M 2J3,auto_classified
10852879.0,AMED SHAWARMA,8 Westmore Dr Unit-F1 M9V 3Z7,auto_classified
10863913.0,AMICO EATERY,2013 Yonge St None M4S 1Z8,auto_classified
10796276.0,AMMA'S KITCHEN,18 Four Seasons Pl Unit-100 M9B 6E7,auto_classified
10828610.0,AMMA'S KITCHEN,2286 Kingston Rd None M1N 1T9,auto_classified
10860890.0,AMOR SHAWARMA,514 KING ST E None M5A 1M1,auto_classified
10808718.0,AMPERSAND BAKEHOUSE,1808 DANFORTH AVE None M4C 1H8,auto_classified
10807062.0,ANDREA'S COOKIES,1377 The Queensway Unit-207 M8Z 1T1,auto_classified
10827833.0,ANDREA'S COOKIES,166 Ossington Ave None M6J 2Z7,auto_classified
10846519.0,ANEJO RESTAURANT,26 Market St None M5E 1M6,auto_classified
10805454.0,ANGUS PHO HOUSE,5443 Yonge St None M2N 5S1,auto_classified
