unified_est_id,est_name,address,classification
10796228.0,40 FIRVALLEY CRT COMMUNITY KITCHEN,40 Firvalley Crt None M1L 1P1,likely_restaurant
10852985.0,40/44 KING STREET WEST COMPLEX,40 KING ST W None M5H 3Y2,ambiguous
10817082.0,400 K3 KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10817081.0,400 K4 KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10817079.0,400 TD SUMMIT SUITES,1 Blue Jays Way None M5V 1J4,ambiguous
10777262.0,416 SNACK BAR SHORT TURN,576 Queen St W None M5V 2B5,likely_restaurant
10814917.0,416 SOCIAL CLUB,718 College St None M6G 1C3,ambiguous
10809881.0,450/ ROOMS COFFEE,450 DUFFERIN ST None M6K 2A5,likely_restaurant
10822327.0,4EVER SUSHI,225 Queen St W None M5V 1Z4,likely_restaurant
10860073.0,4U MILK & VARIETY,2987 ISLINGTON AVE None M9L 2K9,likely_not_restaurant
10861354.0,500 CLUB,81 Bay St Flr-500 M5E 1Z8,ambiguous
10814183.0,508 PIZZA NOVA,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814143.0,512 TORONTO FOOTLONG (cart),1 Blue Jays Way None M5V 1J4,ambiguous
10862255.0,520 CAFE BAR,520 Richmond St W None M5V 1Y4,likely_restaurant
10814151.0,524 CANADIAN CLUB BAR,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814194.0,533 POPCORN & SNACKS,1 Blue Jays Way Unit-534 M5V 1J4,ambiguous
10829881.0,555 BOAT NOODLES,496 Yonge St Bldg-B M4Y 1X9,likely_restaurant
10860715.0,555 BOAT NOODLES,5308 Yonge St None M2N 5P9,likely_restaurant
10862622.0,579 TAIWAN BEEF NOODLE HOUSE,5455 Yonge St None M2N 5S1,likely_restaurant
10826083.0,5N2,705 Progress Ave Bldg-43 M1H 2X1,ambiguous
10829298.0,6IX IRON INDOOR GOLF,142 George St None M5A 2M7,ambiguous
10853369.0,6IX PICKLE,102 BERKELEY ST None M5A 2W7,ambiguous
10802978.0,6IX PIZZAS,2070 Queen St E None M4E 1C9,likely_restaurant
10784045.0,6IX WINGS,2950 Birchmount Rd Unit-6A M1W 3G5,likely_restaurant
10803582.0,6IXDONUTZ,83 Portland St None M5V 2M9,ambiguous
10819131.0,6IXTY WINGS,900 Albion Rd Unit-B20 M9V 1A5,likely_restaurant
10819895.0,6THIRTY COFFEE AND CO.,630 DANFORTH AVE None M4K 1R3,likely_restaurant
10858417.0,7 NOODLES,4664 Yonge St Unit-13 M2N 5M1,likely_restaurant
10847956.0,7STAR CONVENIENCE,438 DAWES RD None M4B 2E8,likely_not_restaurant
10820386.0,7STARS FRESH GROCERY EXPRESS,943 O'CONNOR DR None M4B 2S7,ambiguous
10836123.0,7TH TORONTO REGIMENT R.C.A. SGT MESS,130 QUEEN ST E None M5A 1R9,ambiguous
10836490.0,8 TO 11 MILK & FLOWER STORE,"3585 LAWRENCE AVE E, Unit-2 None M1G 1P4",ambiguous
10778738.0,8090 KARAOKE,530 Dundas St W Flr-2 M5T 1H3,ambiguous
10831633.0,88 SALON,6174 YONGE ST None M2M 3X1,likely_not_restaurant
10844820.0,8DIAMONDZ,31 St Joseph St None M4Y 1J8,ambiguous
10813969.0,9 MILE JAMAICAN AND INTERNATIONAL CUISINE,1334 Bloor St W None M6H 1P2,likely_restaurant
10840099.0,90C BAKERY CAFE,1883 Mcnicoll Ave Unit-14 M1V 5M3,likely_restaurant
10863177.0,90S LOUNGE HOT AND DESSERT BAR,3260 Lawrence Ave E None M1H 1A4,likely_restaurant
10780835.0,915 DUPONT CAFE,915 Dupont St None M6H 1Z1,likely_restaurant
10812820.0,955 CHINESE FOOD,2252 Queen St E None M4E 1G2,ambiguous
10797459.0,99 BOTTLES,925 Kingston Rd None M4E 1S6,ambiguous
10787998.0,999 SUSHI,31 Tapscott Rd Unit-99 M1B 4Y7,likely_restaurant
10845628.0,9SIPS TEA SHOPPE,28 Edward St Bldg-1 M5G 1C9,likely_restaurant
10787160.0,A & W,659 Dupont St None M6G 1Z5,ambiguous
10800311.0,A & W,2500 Sheppard Ave E None M2J 1X1,ambiguous
10823483.0,A & W,1190 Danforth Ave None M4J 1M6,ambiguous
10832820.0,A & W,654 Danforth Ave None M4J 1L1,ambiguous
