est_name,address,unified_est_id,your_decision
ASTERS PATISSERIE,181 Bay St Unit-C370 M5J 2T3,10857371.0,
ATELIER PASTA,165 Bathurst St Unit-167 M5V 3C2,10813075.0,
ATI PASTRY,2755 Lake Shore Blvd W Unit-D M8V 1H2,10853455.0,
AU PAIN DORE,5650 Yonge St Unit-002 M2M 4G3,10781016.0,
AU PAIN DORE,25 The West Mall Unit-1195A M9C 1B8,10789322.0,
AU PAIN DORE,20 Adelaide St E Unit-101 M5C 2T6,10798047.0,
AU PAIN DORE,875 Bay St Bldg-3 M5S 3K6,10820110.0,
AUGUST 8 EGLINTON,10 Lebovic Ave Unit-8 M1L 4V9,10795667.0,
AUTHENTIC DHAKAIYA TASTE,41 Lebovic Ave Unit-A122 None,10840015.0,
AVANT,"1 BLOOR ST E, Unit-1A None M4W 1A9",10851516.0,
AYOKA-ADE AFRICAN DELICACIES,1009 Albion Rd None M9V 1A6,10830821.0,
AZUL,100 King St W Bldg-0118 M5X 1K7,10805736.0,
AZUL,65 Front St W None M5J 1E6,10825916.0,
AZURA,162 Danforth Ave None M4K 1N1,10808600.0,
BA NOI,806 Bloor St W None M6G 1L9,10774588.0,
BABEL FINE FOODS,6620 Finch Ave W Unit-10 M9V 5H7,10856095.0,
BAD EGG,294 Richmond St E Unit-102 M5A 1P5,10815162.0,
BAGELS ON FIRE,486 Front St W Unit-WM54 M5V 0V2,10809094.0,
BAHN MI VINA,1231 Dundas St W None M6J 1X6,10809990.0,
BANYAN SOUTHERN CHINESE FOOD,5 Northtown Way Unit-11 M2N 7A1,10859324.0,
BAO HOUSE,5336 Yonge St None M2N 5P9,10803446.0,
BAOZI KE,4400 Sheppard Ave E Unit-13 M1S 5J5,10779169.0,
BARBURRITO,1530 Albion Rd Unit-96A M9V 1B4,10864062.0,
BARBURRITO,2261 Islington Ave Unit-103 M9W 3W6,10851393.0,
BARBURRITO,4918 Yonge St None M2N 5N5,10847043.0,
BARBURRITO,200 Elizabeth St Bldg-1 M5G 2C4,10835449.0,
BARBURRITO,419 Yonge St Ste-419 M5B 1T1,10827234.0,
BARBURRITO,1684 Danforth Ave None M4C 1H6,10822326.0,
BARBURRITO,700 Lawrence Ave W Unit-230 M6A 3B4,10806153.0,
BARBURRITO,2435 Kingston Rd None M1N 1V4,10772351.0,
BARISTA,200 Bloor St E None M4W 1E5,10805045.0,
BARONESS,287 College St None M5T 1S2,10826039.0,
BASS LOUNGE,91 Rylander Blvd Unit-1001A M1B 5M5,10847911.0,
BAZHEN HOTPOT,3355 Steeles Ave E Unit 1-3 M2H 0A7,10723817.0,
BEAM'S,1973 QUEEN ST E None M4L 1H9,10848702.0,
BELLA NAPOLI CUCINA ITALIANA,"557 Dixon Rd 111, 112, 113 M9W 6K1",10780043.0,
BELLE ISLE,1455 Gerrard St E None M4L 1Z9,10825006.0,
BELLY BUSTER SUBMARINES,380 BLOOR ST W None M5S 1X2,10774855.0,
BELLY BUSTER SUBMARINES,1121 CASTLEFIELD AVE None M6B 1E8,10809790.0,
BEP VIET,738 Gerrard St E None M4M 1Y3,10823188.0,
BERGAMOS BY BRY FOODS,806 COLLEGE ST None M6G 1C8,10844733.0,
BHK ROLL,444 Yonge St Bldg-1 M5B 2H4,10809235.0,
BIG MAO,5519 Yonge St None M2N 5S3,10840978.0,
BIGBELLY GREEK STREET FOOD,3111 Dufferin St Unit-107 M6A 2S7,10821539.0,
BLANCO CANTINA,384 Bloor St W None M5S 1X2,10831249.0,
BLESSING AFRICAN FOOD,1007 Albion Rd None M9V 1A6,10813388.0,
BLOOMING SPICE FISH HOUSE,325 Bamburgh Crcl Unit-A106 M1W 3Y1,10833866.0,
BLU RISTORANTE & LOUNGE,214 King St W None M5H 3S6,10849368.0,
BOCA BRUNCH,488 Cosburn Ave None M4J 2N5,10797543.0,
BOCCACIO RISTORANTE ITALIANO,901 Lawrence Ave W None M6A 1C3,10781804.0,
BOMBA GELATO,93 Front St E None M5E 1C3,10792526.0,
BOMOU,1075 Yonge St None M4W 2L2,10810124.0,
BONJUK,4841 Yonge St Unit-119 M2N 5X2,10833041.0,
BOVINE WINE LOUNGE,65 Front St W None M5J 1E6,10832716.0,
BOXCAR SOCIAL,505 Richmond St W Unit-3 M5V 1Y3,10816100.0,
BOXCAR SOCIAL,1208 Yonge St None M4T 1W1,10830279.0,
BREWNTO,1020 ST CLAIR AVE W None M6E 1A4,10850821.0,
BRGR BARN,1075 Martin Grove Rd None M9W 4W6,10792323.0,
BRICKHOUSE WAFFLE,"641 BAY ST, Unit-2 None M5G 1M7",10855868.0,
BROKEN RICE,613 Yonge St None M4Y 1Z5,10858587.0,
BROWN DONKATSU,487 Bloor St W None M5S 1Y2,10842467.0,
BUDDHA BELLY,200 Front St W Unit-F008 M5V 3K2,10793209.0,
BUONO RISTORANTE,1566 Bayview Ave None M4G 3B7,10776596.0,
BURRITO BOYS,572 Rogers Rd None M6M 1B6,10812788.0,
BURRITO BOYZ,811 Yonge St None M4W 2G9,10830628.0,
BURRITO BOYZ,335 YONGE ST None M5B 1R7,10863092.0,
BURRITO BOYZ,489 Queen St W None M5V 2B4,10844001.0,
BURRITO BOYZ,3803 Lake Shore Blvd W None M8W 1R2,10784423.0,
BURRITO HOUZ,10 Mallard Rd Unit-C112 M3B 0A7,10789915.0,
CAFFE DEMETRES,2962 Bloor St W None M8X 1B7,10828467.0,
CAFFE TAZZA,11 Tippett Rd Unit-19 M3H 2V1,10844579.0,
CAFFE'IN,252 Bloor St W None M5S 1V5,10841286.0,
CAFFE'IN,100 St George St None M5S 3G3,10819855.0,
CAFFEO,405 RICHMOND ST W None M5V 1X3,10858728.0,
CAKETORONTO,"2727 STEELES AVE W, Unit-101 None M3J 3G9",10827225.0,
CALII LOVE,65 Queen St W None M5H 2M5,10852737.0,
CAPRAE & SUIDAE,3359 YONGE ST None M4N 2M6,10846145.0,
CAPTAIN AZZA,3300 Bloor St W Unit-FC4 M8X 2X3,10778996.0,
CAPTAIN NEON,220 Yonge St None M5B 2H1,10808117.0,
CAPYBARA,2323 Bloor St W Unit-105 M6S 4W1,10846464.0,
CARIBBEAN ESSENCE,"750 OAKDALE RD, Unit-1 None M3N 2Z4",10838488.0,
CARIBBEAN HOTPOT,"1 EGLINTON SQ, Unit-143 None M1L 2K1",10802704.0,
CARIBBEAN QUEEN FINE DINING & TAKE-OUT,10 Bradstock Rd None M9M 1M8,10843582.0,
CARIBBEAN QUEEN JERK,2079 Lawrence Ave W None M9N 1H7,10808541.0,
CHA CHENG TEALATO,56 Wellesley St W None M5S 2S3,10856045.0,
CHA MIAO,5373 Yonge St None M2N 5R6,10794937.0,
CHAI  SAMOSA & CHAAT,1291 Gerrard St E None M4L 1Y8,10831243.0,
CHAINSMOKER URBAN HALAL BARBECUE,1892 Lawrence Ave E None M1R 2Y5,10832691.0,
CHAMPION DONER,3300 Keele St None None,10793213.0,
CHAPAYON,4909 Yonge St Unit-B M2N 5N4,10857694.0,
CHARMAINE SWEETS,939 Eglinton Ave E None M4G 4E8,10845228.0,
CHATIME BLOOR,341 Bloor St W None M5S 1W8,10808960.0,
CHATOREY,69 Lebovic Ave Unit-B106 None,10835902.0,
CHATPATEY,41 Lebovic Ave Unit-A126 None,10844230.0,
CHEESYPLACE,2940 Bloor St W None M8X 1B6,10789936.0,
CHENGDU STREET FOOD,405 Dundas St W None M5T 1G6,10810127.0,
CHICHA SAN CHEN,112 Elizabeth St Unit-3 M5G 1P5,10815295.0,
CHICHOP,2352 Yonge St None M4P 2E6,10848769.0,
CHINESE AND VIETNAMESE FOOD,40 Carl Hall Rd Unit-E21 M3K 2C1,10839188.0,
CHINESE CRISPY BEEF PIE,"384 YONGE ST, Bsmt-53 None M5B 1S8",10800168.0,
CHINESE FLAVORS,554 Sheppard Ave W None M3H 2R9,10831784.0,
CHIT CHAAT,438 Horner Ave Unit-A M8W 2B3,10837241.0,
CHOCOLATE EH,"6464 YONGE ST, Unit-106K None M2M 3X4",10847458.0,
CHOJU,5210 YONGE ST None M2N 5P6,10807969.0,
CHUNG CHUN RICE DOG,372 Yonge St Bldg-2 M5B 1S6,10834226.0,
CHUNG'S CARIBBEAN,4205 Keele St Unit-7 M3J 3T8,10850797.0,
CHUNGCHUN RICE DOG,11 Byng Ave Unit-35 None,10856781.0,
CHUNGCHUN RICE DOG WELLESLEY,582 Yonge St None M4Y 1Z3,10806622.0,
CITIZEN PAAN MAHAL,4820 Sheppard Ave E Unit-21 M1S 5M8,10796919.0,
CIVIL WORKS,505 Richmond St W Unit-R3U M5V 1Y3,10821187.0,
CKTL & CO.,330 Bay St Unit-100 M5H 2S8,10776659.0,
COAST TO COAST SEAFOOD,760 COLLEGE ST None M6G 1C4,10846853.0,
COMMA,490 Queen St W None M5V 2B3,10792791.0,
COMPTON AVE,1282 DUNDAS ST W None M6J 1X7,10806871.0,
CONG CAPHE,424 Bloor St W None M5S 1X5,10796997.0,
CONTEAGO,1365 Wilson Ave None M3M 1H7,10859435.0,
CORAL RESTOBAR,1375 Danforth Rd Unit-11-12 M1J 1G7,10832604.0,
CORDUROY,1012 Queen St E None M4M 1K1,10862769.0,
CRANZ EMPANADAS,3588 Dufferin St None M3K 1N1,10854324.0,
CREPE DELICIOUS,220 Yonge St Unit-F016 M5B 2H1,10793941.0,
CREPE DELICIOUS,2641 LAWRENCE AVE E None M1P 22,10822780.0,
CRUDO,1451 Royal York Rd Unit-102 M9P 3B2,10798657.0,
CSK (CHAAT. SHAKES. KATHI),208 Queens Quay  W None M5J 2Y5,10854273.0,
CU TTEOKBOKKI,5369 Yonge St None M2N 5R6,10808191.0,
CUCKOO CAKERY,49 Merchants Wharf None M5A 0R6,10792788.0,
CUPCAKE PARADISE,15 St Clair Ave W None M4V 1K6,10844395.0,
CUPCAKECENTRAL.CA,486 Front St W None M5V 0V2,10862391.0,
D'AMO,1275 Morningside Ave Unit-5 M1B 3W1,10847701.0,
DADA GIMBAP,364 Huron St None M5S 2G4,10860272.0,
DAHU HOTPOT,47 Baldwin St None M5T 1L1,10798292.0,
DALDONGNAE 12,361 Yonge St None M5B 1S1,10838716.0,
DAMDA,659 Bloor St W None M6G 1L1,10773675.0,
DANISH PASTRY HOUSE,1090 Don Mills Rd None M3C 3R6,10778713.0,
DANISH PASTRY HOUSE,40 King St W None M5H 3Y2,10781385.0,
DANISH PASTRY HOUSE,399 Bathurst St None M5T 2S8,10809699.0,
DAPHNE,67 Richmond St W None M5H 1Z5,10779326.0,
DARK HORSE ESPRESSO,55 Bloor St W None M4W 1A5,10800790.0,
