est_name,address,unified_est_id,your_decision
I AM DONER,"4841 YONGE ST, Unit-200 None M2N 5X2",10832168.0,
IBUND,5457 Yonge St None M2N 5S1,10856897.0,
ICE FLAME,8130 Sheppard Ave E Unit-104 M1B 3W3,10829436.0,
IM MOCHI,677 Queen St W None M6J 1E6,10813608.0,
INDIA WAALE DESI STREET FOOD,3040 Don Mills Rd Unit-B M2J 3C1,10820682.0,
INDIAN PAKWAN,2646 Islington Ave None M9V 2X5,10815671.0,
INDIAN STREET FOOD CO,50 Brant St None M5V 3G9,10853351.0,
INDIAN STREET FOOD CO,1701 Bayview Ave None M4G 3C1,10842460.0,
ISLAND FOODS,8 Gladstone Ave None M6J 3K6,10787967.0,
ISLAND OYSTERS,1165 Bloor St W None M6H 1M9,10772678.0,
ISLAND OYSTERS,499 Richmond St W Unit-K6 None,10816818.0,
ISSHO,583 Gerrard St E None M4M 1Y2,10790214.0,
J'S STEAKFRITES,577 COLLEGE ST None M6G 1B2,10821268.0,
JACKIES CREATIVE CAKES,3601 Lawrence Ave E Unit-7 M1G 1P5,10862108.0,
JACOBS & CO. STEAKHOUSE,81 Bay St Flr-4 M5E 1Z8,10838576.0,
JAFFNA STREET FOOD,275 Dundas St W None M5T 3K1,10819338.0,
JAMAICAN SPIKED PATTIES,8 MERCER ST None M5V 0C4,10838558.0,
JAMIL'S,1086 Queen St W None M6J 1H8,10842394.0,
JANGTEO GUKBAP,5433 Yonge St None M2N 5R6,10830984.0,
JAPADOG,486 Front St W Unit-WM24 M5V 0V2,10808196.0,
JAPANESE FAST FOOD YA (NOBUYA),285 Royal York Rd None M8V 2W1,10802738.0,
JC FASTFOOD,111 Rylander Blvd None M1B 4X3,10844822.0,
JERK KING,2300 Yonge St Unit-S120 M4P 1E4,10843188.0,
JINGLE BITES & BREWS - DWV 2025,55 Mill St None M5A 3C4,10829992.0,
JOHN ANDERSON CHARCOAL BROILED HAMBURGERS,2832 Victoria Park Ave None M2J 4A8,10814726.0,
JP PANIPURI,2687 Kipling Ave Unit-10A M9V 5G6,10863432.0,
JUGOS Y ANTONIO'S DE MI PUEBLO,2111 Jane St Unit-12 M3M 1A2,10849276.0,
JULIENNE'S PATISSERIE,2195 Gerrard St E None M4E 2C6,10782539.0,
JUNCTION FOOD CO.,545 KEELE ST None M6N 3E4,10795248.0,
KADAK,2088 Yonge St None M4S 2A3,10804041.0,
KAJIKEN NORTH YORK,4850 Yonge St None M2N 5N2,10858217.0,
KALYUG,885 Dundas St W Unit-885 M6J 1V9,10818379.0,
KANOM,275 Dundas St W Unit-28B M5T 3K1,10796526.0,
KANTO BY TITA FLIPS,5210 YONGE ST None M2N 5P6,10807977.0,
KAO KANG BY KHO LIPE,486 Front St W None M5V 0V2,10849634.0,
KARACHI KABAB WALA,463 Queen St W None M5V 2A9,10845204.0,
KARACHI XPRESS,69 Lebovic Ave Unit-D111-112 None,10810420.0,
KARAHI POINT,25 The West Mall Unit-F002 M9C 1B8,10840809.0,
KARAHI POINT,2642 Islington Ave Bldg-- M9V 2X5,10852525.0,
KARAHI POINT EXPRESS,736 Bay St Bldg-1 M5G 2M4,10838272.0,
KARNAVATI STREET FOOD & TIFFIN SERVICE,3863 Lawrence Ave E None M1G 1R2,10786522.0,
KEZY DONER,109 Mc Caul St Unit-36 M5T 3K5,10816903.0,
KIBO FOOD STATION,24 Martin Ross Ave Unit-4 M3J 2K8,10817293.0,
KIMBAP KARAH ON,"5418 YONGE ST, Unit-18 None M2N 6X4",10821011.0,
KING OF PUNJABI TADKA,1275 Morningside Ave Unit-10 M1B 3W1,10784332.0,
KINGSTON 12 PATTY SHOP,1635 DUNDAS ST W None M6K 1V2,10818445.0,
KINGSTON 12 PATTY SHOP,1808 Eglinton Ave W None M6E 2H6,10794946.0,
KOH LIPE,33 Baldwin St None M5T 1L1,10809596.0,
KOKO'S TIFFIN,2501 Finch Ave W None M9M 2G1,10864089.0,
KOTTU KADAI,3351 Markham Rd Unit-111 M1X 0A6,10848478.0,
KOZ BINGOL EXPRESS,655 Queen St W None M6J 1E6,10825731.0,
KREAM,526 Yonge St Bldg-1 M4Y 1X9,10780628.0,
KUNAFA'S CHOCOLATE INC,133 Manville Rd Unit-22 M1L 4J7,10827345.0,
KUSINERO DE PANADERIA,883 Eglinton Ave W None M6C 2C1,10787029.0,
KUYA DON LOMI BATANGAS,3645 Bathurst St Unit-1 M6A 2E4,10823051.0,
Khalifa Kabab & Karahi,235 Dixon Rd Unit-1 M9P 2M5,10778995.0,
LA BOTANA MEXICANA,"3111 DUFFERIN ST, Unit-101 None M6A 2S7",10805469.0,
LA CANTINA DEL PUEBLO LOUNGE,9 Milvan Dr Bldg-5 M9L 1Y9,10780175.0,
LA CUBANA,486 Front St W Unit-WM35 M5V 0V2,10808199.0,
LA LUNA PANADERIA,1650 Jane St Unit-1 M9N 2R8,10798263.0,
LA NAYARITA,930 Queen St W None M6J 1G6,10795874.0,
LA POZOLERIA MEXICANA,1896 Jane St None M9N 2T8,10817356.0,
LA UNICA PANADERIA MEXICANA,850 Wilson Ave None M3K 1E5,10799148.0,
LA UNICA PANDERIA MEXICANA,4 Bradstock Rd None M9M 1M8,10840035.0,
LAHORE TIKKA HOUSE,1365 Gerrard St E None M4L 1Z3,10825558.0,
LAILA'S CHEESECAKE CO,855 Browns Line None M8W 3V7,10863772.0,
LALA'S CANTINA,220 Yonge St None M5B 2H1,10808112.0,
LAMOCHI SWEETS,3580 Mcnicoll Ave None M1V 5G2,10849625.0,
LARB MUANG,45 Baldwin St None M5T 1L1,10840434.0,
LAS MUNS,28 Bathurst St Unit-1-112 None,10855643.0,
LAZY BARISTA,155 Queens Quay  E Unit-1 M5A 0W4,10797119.0,
LAZY DAISY FOODS,388 CARLAW AVE None M4M 2T4,10840310.0,
LE BEAU BOULANGERIE,131 Mill St None M5A 2Z8,10831676.0,
LE PETIT CORNICHON,220 Yonge St None M5B 2H1,10808115.0,
LEBANESE EXPRESS,140 St George St None M5S 3G6,10857064.0,
LEE KEE DUMPLING HOUSE,15 Northtown Way None M2N 7A2,10855499.0,
LEE YAKINIKU,5330 Yonge St None M2N 5P9,10817727.0,
LEGACY LOUNGE,901 Jane St None M6N 4C6,10824006.0,
LEMON LILY,"747 QUEEN ST E, Unit-102 None M4M 1H3",10809658.0,
LIBRETTO,220 Yonge St None M5B 2H1,10808116.0,
LILI,486 Front St W Unit-9 M5V 0V2,10859247.0,
LILIANA,1198 Queen St W None M6J 1J6,10859425.0,
LIMON MIDTOWN,3265 Yonge St None M4N 2L5,10844491.0,
LIN XIANG NING,"5418 YONGE ST, Unit-19 None M2N 6X4",10792473.0,
LITTLE ESE,875 Queen St W None M6J 1G5,10846675.0,
LITTLE MOO,1400 QUEEN ST E None M4L 1C9,10790503.0,
LOLA ASTY,4403 Kingston Rd Unit-102 M1E 2N2,10861444.0,
LONCH-TIME,1275 Bloor St W Bldg-- M6H 1N7,10860292.0,
LOS GYROS,500 Queen St E None M5A 1T7,10835980.0,
LOST IN TOKYO PARFAIT SHOP,636 Queen St W None M6J 1E4,10848121.0,
LUCIE,100 Yonge St Unit-100 M5C 2W1,10788886.0,
LUCKY DONKATSU,"415 YONGE ST, Bldg-- None M5B 2E7",10800334.0,
LUNA'S  KABAB WRAPS,1355 GERRARD ST E None M4L 1Y8,10812364.0,
M CHABAR,491 Bloor St W None M5S 1Y2,10849794.0,
M SQUARE CAKE,652 Yonge St None M4Y 2A6,10844947.0,
MA BELLE,2131 Lawrence Ave E Unit-101 M1R 5G4,10835251.0,
MAAYA / MIA,244 Adelaide St W None M5H 1X6,10820277.0,
MAC'S SUSHI,"900 DUFFERIN ST, Unit-4016 None M6H 4A9",10782092.0,
MAD RADISH,4 King St W Unit-102 M5H 1B6,10804711.0,
MADAME GATEAUX,2034 DANFORTH AVE None M4C 1J6,10824846.0,
MADE IN JAPAN TERIYAKI EXPERIENCE,861 York Mills Rd Unit-6 M3B 1Y2,10834228.0,
MADO,144 Yonge St None M5C 1X6,10773179.0,
MANDY'S,480 Front St W Unit-UG05 M5V 0V5,10803248.0,
MANDY'S,110 Bloor St W Unit-5B M5S 2W7,10819138.0,
MANDY'S,2670 Yonge St None M4P 2J5,10862314.0,
MANGO RAIN,3308 Lake Shore Blvd W Unit-3 M8V 1M4,10775729.0,
MANITA ROSEDALE,1164 Yonge St None M4W 2L9,10823894.0,
MAPO POCHA,680 BLOOR ST W None M6G 1L2,10798455.0,
MARQUIN,100 King St W Unit-CN0159 M5X 1K7,10798613.0,
MARRY ME MOCHI,220 Yonge St Unit-H023 M5B 2H1,10847689.0,
MARS VILLAGE FOOD,510 Yonge St Bldg-1 M4Y 1X9,10814773.0,
MARVELOUS BY FRED,2190 Bloor St W None M6S 1N3,10841143.0,
MASTER POT,280 Spadina Ave Unit-C M5T 3A5,10796596.0,
MATCHA HAUS,324 BATHURST ST None M5T 2S3,10847789.0,
MATCHA HAUS,890 Queen St E None M4M 1J3,10863812.0,
MATCHA MATCHA,294 DUNDAS ST W None M5T 1G2,10861407.0,
MATCHA YUZU,"390 SILVER STAR BLVD, Unit-166 None M1V 0G5",10820838.0,
MATCHATIME,1104 WILSON AVE None M3M 1G7,10805795.0,
MATSUTEI SUKIYAKI,438 Dundas St W None M5T 1G7,10809170.0,
MAYFLOWER CHINESE FOOD,1500 Royal York Rd None M9P 3B6,10799002.0,
MCCAFE,65 Front St W None M5J 1E6,10788498.0,
MEAL QUEEN,130 St George St None M5S 1A5,10837875.0,
MEAN POUTINE,4841 Yonge St Unit-204 M2N 5X2,10822672.0,
MEAT ON MILLIKEN,23 Milliken Blvd Unit-B5 M1V 5H7,10806868.0,
MEATAA SEVEN,5285 Yonge St Flr-2 M2N 5R3,10805793.0,
MELLIS CHOCOLATE,"5418 YONGE ST, Unit-10 None M2N 6X4",10826193.0,
MELTWICH,4525 Kingston Rd Unit-H9 M1E 2P1,10780121.0,
MENICURE +,3391 YONGE ST None M4N 2M8,10841008.0,
MERCURY ESPRESSO,465 King St E None M5A 1L6,10801209.0,
MERLOT,2994 Bloor St W None M8X 1C2,10783556.0,
MEVAME EAT MEDITERRANEAN,2 Alexander St Bldg-- M4Y 0J2,10811542.0,
MEXHICO,26 Baldwin St None M5T 1L2,10803120.0,
MEZCALERO & TAPAS,509 Bloor St W Unit-UPPER M5S 1Y2,10786183.0,
MEZZA NOTTE TRATTORIA,3169 Dufferin St None M6A 2S9,10779711.0,
MHEL,1059 Bloor St W None M6H 1M5,10786983.0,
MIELUNA,483 Bay St Unit-110S M5G 2C9,10847672.0,
MIZNON,65 Front St W Unit-400B M5J 1E6,10835946.0,
MOMO & BAO,5210 Yonge St None M2N 5P6,10807958.0,
MOMO CORNER,161 Baldwin St Unit-6 M5T 1L9,10808424.0,
MOMO GHAR - TABI,568 PARLIAMENT ST None M4X 1P8,10771305.0,
MOMO GHAR WEST,2392 Bloor St W None M6S 1P5,10810293.0,
MOMO HUT,"41 LEBOVIC AVE, Unit-A118 None None",10811575.0,
MOMO LOCO,"15 MERCHANTS WHARF, Unit-3 None M5A 0N8",10823015.0,
MOMO MOJO,2772 Dundas St W None M6P 1Y3,10843439.0,
MOMO2GO,41 Lebovic Ave Unit-A106 None,10837821.0,
MOMOBOYZ,1748 Lawrence Ave E None M1R 2Y1,10821990.0,
MOMOHEART@675,675 LANSDOWNE AVE None M6H 3Y9,10813042.0,
MOMTAZZ KABOB,330 Front St W Bldg-102 M5V 3B7,10850869.0,
MORE GELATO & CAFFE,392 Pacific Ave None M6P 2R1,10859377.0,
MOSS PARK ESPRESSO,185 Queen St E None M5A 1S2,10778736.0,
MOTTO TORONTO,764 Queen St W None M6J 1E9,10862114.0,
MR FISH DOWNTOWN,333 Spadina Ave None M5T 2E9,10840188.0,
MR JERK,1365 Lawrence Ave W None M6L 1A4,10774846.0,
MR SOUVLAKI,148 North Queen St Unit-1 M9C 1A8,10843316.0,
MR SUB,438 University Ave Unit-105 M5G 2K8,10795069.0,
MR SUB,55 Eglinton Sq Unit-112 M1L 2K1,10838578.0,
MR. GREEK,4914 YONGE ST None M2N 5N5,10823150.0,
MR. GREEK,"6015 STEELES AVE E, Unit-6-7 None None",10800724.0,
MR. MANGO,40 King St W None M5H 3Y2,10815037.0,
MR. PANG,5418 Yonge St Unit-17 M2N 6X4,10843163.0,
MR. PRETZELS,1 Dundas St W Unit-D101A M5G 1Z3,10849650.0,
MR. PUFFS,808 York Mills Rd Unit-9 M3B 1X8,10838394.0,
MR. SUB,2050 Victoria Park Ave Unit-A M1R 1V2,10781013.0,
MR. SUB,3885 Keele St None M3J 1N6,10860139.0,
MR.GREEK,2061 Steeles Ave W Bldg-2 M3J 3N3,10845978.0,
MR.SUB,3741 Lawrence Ave E None M1G 1P7,10842200.0,
MUSOSHIN WATERWORKS,499 Richmond St W Unit-K2 None,10815959.0,
MY GREEK TABLE,454 Eglinton Ave W None M5N 1A5,10859147.0,
MYMYCHICKEN TOWN CENTER,300 Borough Dr Unit-FC13 M1P 4P5,10841129.0,
NAAN AND KABOB,8 William Kitchen Rd Bldg-N100 M1P 5B7,10780719.0,
NAAN KABOB,240 Queen St W None M5V 1Z7,10800280.0,
NAI NAI INDONESIAN FOOD,122 St Patrick St Unit-20 M5T 2X8,10786881.0,
NAIJA JOLLOF,592 Queen St W None M6J 1E3,10836667.0,
NANA'S CREPERIE,1917 QUEEN ST E None M4L 1H3,10781788.0,
NANI'S GELATO,120 LYNN WILLIAMS ST None M6K 3N6,10771900.0,
NANYANG FUSION,879 Bay St Unit-3 M5S 3K6,10840826.0,
NARIN PASTRY,881 Wilson Ave None M3K 1E6,10838397.0,
NEWSERENAGRILLS,"3110 KINGSTON RD, Unit-2 None M1M 1P2",10855315.0,
NGANDA,254 Adelaide St W None M5H 1X6,10842440.0,
NGOGO,646 Queen St W Unit-646 M6J 1E4,10812955.0,
NINA'S BRUNCH,238 Augusta Ave None M5T 2L7,10837637.0,
NISHA'S CULINARY,5928 Finch Ave E Unit-3 M1B 5P8,10857660.0,
NOBLE MOMOS,2923 LAWRENCE AVE E None M1P 2S8,10780607.0,
NOME IZAKAYA,92 Fort York Blvd None M5V 4A7,10802640.0,
NORD LYON,486 Front St W Unit-WM41 M5V 0V2,10811893.0,
NORD LYON,250 Queen St W None M5V 1Z7,10840094.0,
NORTH YORK BANQUET HALL/ PHO OXTAIL,1181 Finch Ave W Unit-1X M3J 2V8,10815687.0,
NOTHING BUNDT CAKES,148 North Queen St Unit-G3 M9C 1A8,10797404.0,
NUGATEAU,176 YONGE ST None M5C 2L7,10779097.0,
NUNU ETHIOPIAN FUSION,1178 QUEEN ST W None M6J 1J5,10819130.0,
NUTBAR,127 Ossington Ave None M6J 2Z6,10860471.0,
NUTBAR,425 Adelaide St W None M5V 3C1,10860561.0,
NUTBAR,102 Bloor St W None M5S 1M8,10841689.0,
NUTTEA,637 Bloor St W None M6G 1K8,10796899.0,
ON/OFF,5463 Yonge St None M2N 5S1,10790146.0,
ONE MORE TIME,"5418 YONGE ST, Unit-16 None M2N 6X4",10818050.0,
ONE STOP WAFFLE SHOP,3140 Dundas St W None M6P 2A1,10859909.0,
ONE YORK FOOD HALL (5TH FL.),1 York St Flr-5 None,10804871.0,
ONEFIVESIX,1100 Queen St W Unit-101 M6J 1H9,10852977.0,
ONO POKE,"3 DUNDAS ST E, Bldg-1 None None",10801885.0,
OODLES WOK,41 Lebovic Ave Unit-A117 None,10847962.0,
OPTEAQ,256 Queen St W Unit-256 M5V 1Z8,10781744.0,
ORETTA CAFFE,160 Front St W None None,10858478.0,
OSTERIA SPUNTINO,120 FENMAR DR None M9L 1M6,10860105.0,
OTTO'S BERLIN DONER,505 Richmond St W Unit-K12 M5V 1Y3,10829109.0,
PAAN CITY,2623 Lawrence Ave E None M1P 2S2,10791835.0,
PAANDIAN VILAS,799 Brimley Rd None M1J 1C9,10858999.0,
PANETTORINO FORNO ITALIANO,3797 Lake Shore Blvd W None M8W 1R2,10788622.0,
PAPA JOHN'S,3551 Sheppard Ave E Unit-2 M1T 3K8,10812785.0,
PARADISE WINERY INC.,218 Geary Ave None M6H 2C3,10780707.0,
PARAMOUNT FINE FOODS,1585 The Queensway Bldg-~ M8Z 1T8,10823868.0,
PARATHA KABAB HOUSE,1179 Brimley Rd None M1P 3G5,10819856.0,
PARIS BAGUETTE,4841 Yonge St Unit-120 M2N 5X2,10787412.0,
PARIS BAGUETTE,110 Bloor St W None M5S 2W7,10824089.0,
PARIS BAGUETTE,171 North Queen St Unit-G2 M9C 1A7,10854274.0,
PARIS STEAK,120 Atlantic Ave None M6K 1X9,10843726.0,
PASTABLE,372 Yonge St Bldg-3 M5B 1S6,10835056.0,
PATAGONIA,1255 St Clair Ave W None M6E 1B8,10799755.0,
PERFECT MEAT BOWL,3272 Midland Ave Unit-D123 M1V 0C7,10772702.0,
PETIT POTATO,1033 Bay St None M5S 3A5,10818963.0,
PHILTHY PHILLY'S CHEESESTEAK & POUTINERIE,31 Rexdale Blvd Unit-3110-C3 M9W 1P1,10825479.0,
PHYLLO CAFFE,920 PAPE AVE None M4K 3V2,10832289.0,
PI CO.,1800 Sheppard Ave E Unit-F 014 M2J 5A7,10831900.0,
PIANO PIANO,1006 Bloor St W None M6H 1M2,10840269.0,
PIDAPIPO GELATO,656 Yonge St None M4Y 2A6,10809230.0,
PIKA PIKA,486 Front St W None M5V 0V2,10828659.0,
PINOKIO,2350 YONGE ST None M4P 2E6,10845646.0,
PIRAGUA,893 QUEEN ST W None M6J 1G5,10805423.0,
PITA LAND,11 Industrial St Unit-2 M4G 1Z2,10771938.0,
PITA LAND,2300 Yonge St None M4P 1E4,10796693.0,
PITA LITE,1440 Yonge St None M4T 1Y5,10785737.0,
PIZZZA GIANT,4002 Sheppard Ave E Unit-102D M1S 4R5,10847949.0,
POKEWORKS,65 Front St W None M5J 1E6,10847546.0,
POKEWORKS,197 North Queen St None M9C 4Y1,10798637.0,
POKEWORKS,486 Front St W Unit-WM22 M5V 0V2,10805861.0,
POKITO,2 St Clair Ave E Unit-C005 M4T 2T5,10802933.0,
POTATO CORNER,300 Borough Dr Unit-63 M1P 4P5,10860810.0,
POULET ROUGE,220 Yonge St Unit-F008 M5B 2H1,10823847.0,
POUTINE HUB,181 PARLIAMENT ST None M5A 2Z4,10810298.0,
POWPOW GELATO,459 Parliament St None M5A 3A3,10851652.0,
PRETTY SWEET GELATO,"30 BERTRAND AVE, Unit-B201 None M1L 2P5",10832481.0,
PRETTY SWEET GELATO,"110 SILVER STAR BLVD, Unit-116 None M1V 5A2",10849310.0,
PUBLIC GARDENS,577 King St W None M5V 1M1,10822409.0,
PUMPERNICKEL'S,200 Wellington St W Unit-350 M5V 3C7,10790490.0,
PUMPERNICKEL'S,351 King St E Unit-103B M5A 0L6,10843907.0,
PUNJAABI CHAAP HOUSE / ROYAL PAAN,25 Woodbine Downs Blvd Unit-1-2 M9W 6N5,10850012.0,
PUNTA CANA HAUS LOUNGE,1902 Jane St None M9N 2T8,10798034.0,
PURPEL,486 Front St W Unit-WM M5V 0V2,10808792.0,
PURPEL,65 Front St W Unit-CRU331 M5J 1E6,10809139.0,
QING SHU SPICY HOTPOT,5195 Yonge St None M2N 5P7,10778145.0,
R.CHANG FOOD LTD,380 Tapscott Rd Unit-3 M1B 2Y8,10836955.0,
RAJA SWEETS AND FAST FOOD,3000 Danforth Ave None M4C 1M7,10821889.0,
RAMONA'S,1089 QUEEN ST W None M6J 1H3,10805629.0,
REAL GREEK GYROS,731 Queen St E None M4M 1H1,10805402.0,
REAL PINOY TASTE,1150 Morningside Ave Unit-113 M1B 3A4,10829132.0,
RED CONTAINER,639 Queen St E Unit-REAR M4M 1G4,10817642.0,
RED SAUCE,220 Yonge St None M5B 2H1,10807998.0,
RICKY+OLIVIA,996 Queen St E None M4M 1K1,10806522.0,
RIZ GLUTEN- FREE,3471 Yonge St Unit-A M4N 2N3,10778241.0,
ROMINAS ITALIAN FOOD,8 Westmore Dr Unit-S3 M9V 3Z7,10859958.0,
ROSALU SNACKBAR,228 Christie St None M6G 3B7,10799435.0,
ROWDYS INDIAN AND HAKKA,4352 Kingston Rd Rm-9 M1E 2M8,10797189.0,
ROXTON PUBLIC HOUSE,1112 Dundas St W None M6J 1X2,10855831.0,
ROYAL BAITHAK,755 Queen St E None M4M 1H3,10855186.0,
ROYAL PAAN,41 Lebovic Ave 119-120 None,10798393.0,
ROYAL TAKEOUT,328 Passmore Ave Unit-45 M1V 5J5,10841284.0,
RUDY,3397 Yonge St None M4N 2M8,10824333.0,
RUELO PATISSERIE,463 Mcnicoll Ave None M2H 2C9,10773115.0,
RUMELI,4700 Dufferin St Unit-6 M3H 5S7,10836235.0,
RUPOSHI BANGLA,2680 Lawrence Ave E Unit-5 M1P 4Y4,10819139.0,
RUUMORS RESTO LOUNGE,3466 Dundas St W Unit-6 M6S 2S1,10800353.0,
SAHIBI KABOB,"69 LEBOVIC AVE, Unit-D110 None None",10824312.0,
SAIGON PAI,610 GERRARD ST E None M4M 1Y3,10803496.0,
SAINT GERMAIN,220 Yonge St Unit-202 M5B 2H1,10842751.0,
SAINT GERMAIN,220 Yonge St Unit-18 M5B 2H1,10842887.0,
SAK'S FINE FOODS,165 MAIN ST None M4E 2V9,10862478.0,
SAKU,478 Queen St W None M5V 2B2,10546776.0,
SAKU,20 Edward St Bldg-1 M5G 1C9,10863786.0,
SAKURA LOUNGE,33 Mercer St None M5V 1H2,10844386.0,
SALERNO TRATTORIA,70 Plunkett Rd Unit-7 M9L 2J5,10823925.0,
SAMMARCO,33 Yonge St Unit-102 M5E 1G4,10843342.0,
SAMOSA EXPRESS,100 King St W None M5X 1K7,10861605.0,
SAMOSA WORLD,1571 Sandhurst Crcl Unit-404 M1V 1V2,10779283.0,
SANDRA CRAFT,1289 GERRARD ST E None M4L 1Y5,10841034.0,
SANGEETHA VEG,3601 Lawrence Ave E Unit-1 M1G 1P5,10813799.0,
SANUKI UDON,20 Carlton St Bldg-MAIN M5B 2H5,10775821.0,
SAVOR,1226 ST CLAIR AVE W None M6E 1B4,10786390.0,
SAVOURY SAMOSA,16 Mallard Rd Unit-A203 M3B 0A7,10808215.0,
SAWFT,1006 Bloor St W None M6H 1M2,10854956.0,
SCORE ON QUEEN,298 Queen St W None M5V 2A1,10826195.0,
SEAFOOD PRINCESS,3601 Victoria Park Ave Unit-101-105 M1W 3Y3,10833721.0,
SECRET FOOD FUSION,2761 Kingston Rd None M1M 1M8,10859081.0,
SENLA VIETNAMESE,133 Richmond St W Unit-101 M5H 2L3,10849415.0,
SHAKE THERAPY,486 Front St W Unit-WM M5V 0V2,10811375.0,
SHAMEFUL TIKI ROOM,777 QUEEN ST W None M6J 1G1,10847264.0,
SHELL SELECT/FRESHII,4722 YONGE ST None M2N 5M4,10782917.0,
SHIKSHAS CAKE RUSH,1005 Albion Rd Bldg-- M9V 1A6,10844931.0,
SHILVI STREET FOOD,2291 Kipling Ave Unit-111 M9W 4L6,10835677.0,
SHUNOKO,3220 Yonge St None M4N 2L2,10792136.0,
SHUYI TEALICIOUS,394 Spadina Ave None M5T 2G5,10800361.0,
SIMIT & CHAI,1114 QUEEN ST E None M4M 1K8,10819779.0,
SIMPLY CHOPS - SUYA CITY,1354 Weston Rd None M6M 4R8,10850425.0,
SINJEON TOPOKKI & POCHA BLOOR,712 Bloor St W None M6G 1L4,10825967.0,
SIXTYEIGHT,40 King St W Unit-68 M5H 3Y2,10853202.0,
SLOW BITE,45 Sheppard Ave E Unit-102 M2N 5W9,10842915.0,
SMART AND MORRIS JAMAICAN TAKEOUT,854 Bathurst St None M5R 3G3,10771639.0,
SMOKE'S POUTINERIE,588 Danforth Ave None M4K 1R1,10794511.0,
SOI THAIFOON,499 Richmond St W Unit-K 14-16 None,10816939.0,
SOLMAZ BAKLAVA LOKUM PATISSERIE,25 The West Mall Unit-1108 M9C 1B8,10823741.0,
SOMAR PATISSERIE,2075 Lawrence Ave E Unit-B M1R 2Z4,10777175.0,
SOUL CHOCOLATE,20 WAGSTAFF DR None M4L 3W9,10797266.0,
SOUPERLICIOUS,3300 Dufferin St Unit-F M6A 2T5,10793447.0,
SOUTH INDIAN STREET BITES,"4465 SHEPPARD AVE E, Unit-46 None M1S 5H9",10847064.0,
SOUVLAKI & PANINI,6 FAIRLAWN AVE None M5M 1S7,10826224.0,
SOUVLAKI EXPRESS,484 Parliament St None M4X 1P2,10848685.0,
SOUVLAKI HUT,5304 Dundas St W Bldg-- M9B 1B2,10794798.0,
SOUVLAKI HUT,2100 Queen St E None M4E 1E1,10850950.0,
SOUVLAKI HUT RUNNYMEDE,2184 Bloor St W None M6S 1N3,10806387.0,
SOUVLAKI PLACE,495 Bloor St W None M5S 1Y2,10799319.0,
SOY BOYS,1056 Queen St E None M4M 1K5,10863436.0,
SPICY INDIAN FLAVOURS,605 Rogers Rd None M6M 1B9,10855748.0,
SPOTATO,2471 Yonge St None M4P 2H6,10854652.0,
SPREZZATURA,1166 Dundas St W None M6J 1X4,10779416.0,
SQUIRLY'S,807 Queen St W None M6J 1G1,10862123.0,
STREATERY,38 Forest Manor Rd Unit-C None,10830956.0,
STREET MOMOS PORT UNION,271 Old Kingston Rd Unit-103 M1C 1B4,10799451.0,
STUBBE CHOCOLATES,653 ST CLAIR AVE W None M6C 1A7,10834908.0,
SUAVE KORNER KAFE,2200 Eglinton Ave E Unit-103 M1L 2N3,10861040.0,
SUBWAY,200 Front St W Unit-C-004 M5V 3K2,10850367.0,
SUBWAY,170 Sumach St Unit-5 M5A 0C3,10844760.0,
SUBWAY,78 Dundas St E None M5B 1C9,10844371.0,
SUBWAY,3030 Don Mills Rd E Unit-27 M2J 3C1,10834224.0,
SUBWAY,6135 Finch Ave E Unit-3 M1X 0C9,10825834.0,
SUBWAY,785 Steeles Ave W None M2R 3W9,10823332.0,
SUBWAY,5919 Leslie St None None,10806950.0,
SUBWAY,220 Yonge St None M5B 2H1,10799283.0,
SUBWAY,"222 THE ESPLANADE, Unit-1B None M5A 4M8",10840116.0,
SUBWAY,2555 Victoria Park Ave Unit-3B M1T 1A3,10789243.0,
SUBWAY,"142 KENDAL AVE, Unit-144 None M5R 1M3",10403383.0,
SUBWAY,1717 Bloor St W None M6P 1B2,10793783.0,
SUBWAY,671 Danforth Ave Flr-1 - FLR-2 M4J 1L3,10772207.0,
SUBWAY,275 Dundas St W Unit-12 M5T 3K1,10773032.0,
SUBWAY,1160 Morningside Ave Unit-A M1B 3A4,10773754.0,
SUBWAY,1082 Queen St W None M6J 1H8,10826131.0,
SUBWAY,300 Borough Dr Unit-FC-03 M1P 4P5,10777369.0,
SUBWAY,2848 Ellesmere Rd None M1E 4B8,10778237.0,
SUBWAY,1571 Sandhurst Crcl Unit-106B M1V 1V2,10786527.0,
SUBWAY,3316 Keele St None M3M 2H7,10787823.0,
SUBWAY,1171 Bloor St W None M6H 1M9,10788537.0,
SUBWAY,120 Eringate Dr Unit-4 M9C 3Z8,10775291.0,
SUKHOTHAI,460 Front St E None M5A 0E6,10797780.0,
SULTAN OF SAMOSAS INC.,251 Bartley Dr Unit-1 M4A 2N7,10779824.0,
SUNNY TAIWANESE FOOD INC,915 Bay St Unit-1 M5S 3L6,10778823.0,
SUPER SAMOSA SNACKS AND SWEETS,837 Albion Rd Unit-- M9V 1A3,10863587.0,
SURREAL SWEETS,3513 Bathurst St None M6A 2C5,10791383.0,
SURTI PAAN & FOODS,11 Westmore Dr Unit-5 M9V 3Y6,10823795.0,
SUYA CITY EXPRESS,778 Dundas St W None M6J 1V1,10844707.0,
SWEETIE PIE,3308 Yonge St None M4N 2M4,10774047.0,
SWEETIE PIE,100 King St W Unit-CN0147 M5X 1K7,10774290.0,
